time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
4.440000	14.677634	-0.014946	1.103653	33.154819
4.470000	14.756417	-0.014708	1.009743	33.583263
4.500000	14.835200	-0.014500	0.915825	34.011707
4.530000	14.911579	-0.014253	0.818489	34.445576
4.560000	14.987958	-0.014060	0.721153	34.879448
4.590000	15.062740	-0.013846	0.621407	35.316994
4.620000	15.137524	-0.013688	0.521652	35.754543
4.650000	15.210878	-0.013509	0.419533	36.195576
4.680000	15.284233	-0.013385	0.317413	36.636612
4.710000	15.357588	-0.013274	0.215302	37.077648
4.740000	15.429184	-0.013118	0.109848	37.523430
4.770000	15.500781	-0.013035	0.004395	37.969212
4.800000	15.571432	-0.012925	-0.103439	38.418228
4.830000	15.642084	-0.012873	-0.211266	38.867249
4.860000	15.712114	-0.012786	-0.321449	39.319347
4.890000	15.782146	-0.012771	-0.431633	39.771446
4.920000	15.851892	-0.012712	-0.544182	40.226536
4.950000	15.921638	-0.012728	-0.656731	40.681625
4.980000	15.991444	-0.012698	-0.771667	41.139645
5.010000	16.061249	-0.012749	-0.886612	41.597668
5.040000	16.131054	-0.012776	-1.001556	42.055691
5.070000	16.201410	-0.012741	-1.120041	42.517918
5.100000	16.271769	-0.012855	-1.238525	42.980145
5.130000	16.342922	-0.012899	-1.359596	43.445271
5.160000	16.414074	-0.013053	-1.480667	43.910397
5.190000	16.486248	-0.013132	-1.604355	44.378361
5.220000	16.558422	-0.013343	-1.728050	44.846325
5.250000	16.631784	-0.013459	-1.854454	45.317059
5.280000	16.705149	-0.013744	-1.980858	45.787792
5.310000	16.779823	-0.013921	-2.110107	46.261242
5.340000	16.854498	-0.014248	-2.239357	46.734692
5.370000	16.930553	-0.014457	-2.371582	47.210796
5.400000	17.007471	-0.014886	-2.505775	47.688473
5.430000	17.084389	-0.015408	-2.639969	48.166157
5.460000	17.162462	-0.015772	-2.777016	48.645924
5.490000	17.240538	-0.016390	-2.914063	49.125690
5.520000	17.319799	-0.016823	-3.054504	49.607685
5.550000	17.399826	-0.017278	-3.197395	50.091694
5.580000	17.479853	-0.017446	-3.340286	50.575710
5.610000	17.560982	-0.017499	-3.486725	51.063564
5.640000	17.642111	-0.017143	-3.633163	51.551418
5.670000	17.724455	-0.016762	-3.783745	52.044521
5.700000	17.807407	-0.015740	-3.936501	52.540974
5.730000	17.890360	-0.014410	-4.089264	53.037426
5.760000	17.974224	-0.013285	-4.245262	53.539669
5.790000	18.058577	-0.011302	-4.402794	54.045551
5.820000	18.143400	-0.008996	-4.561562	54.555241
5.850000	18.228224	-0.006391	-4.720329	55.064930
5.880000	18.313852	-0.004321	-4.880684	55.581425
5.910000	18.399984	-0.001198	-5.041458	56.102352
